graph_id,sheet_id,status,reason,n_rooms,n_doors,integrity_passed
APT_FP_29a7daa1_17446927_u2,APT_FP_29a7daa1_17446927,ok,,3,2,True
APT_FP_29a7daa1_17446927_u3,APT_FP_29a7daa1_17446927,ok,,4,3,True
APT_FP_196eb567_17447720_u0,APT_FP_196eb567_17447720,ok,,5,4,True
APT_FP_196eb567_17447720_u1,APT_FP_196eb567_17447720,ok,,6,5,True
APT_FP_196eb567_17447720_u2,APT_FP_196eb567_17447720,ok,,5,4,True
APT_FP_66d9c366_17446927_u0,APT_FP_66d9c366_17446927,ok,,3,2,True
APT_FP_ae6e36e2_17446927_u0,APT_FP_ae6e36e2_17446927,ok,,2,1,True
APT_FP_ae6e36e2_17446927_u1,APT_FP_ae6e36e2_17446927,ok,,2,1,True
APT_FP_ae6e36e2_17446927_u2,APT_FP_ae6e36e2_17446927,ok,,19,12,True
APT_FP_ae6e36e2_17446927_u3,APT_FP_ae6e36e2_17446927,ok,,3,2,True
APT_FP_f0a17ca5_17446927_u0,APT_FP_f0a17ca5_17446927,ok,,3,2,True
APT_FP_f0a17ca5_17446927_u1,APT_FP_f0a17ca5_17446927,ok,,2,1,True
APT_FP_f0a17ca5_17446927_u2,APT_FP_f0a17ca5_17446927,ok,,20,12,True
APT_FP_f0a17ca5_17446927_u3,APT_FP_f0a17ca5_17446927,ok,,4,3,True
APT_FP_00717d5d_17441963_u0,APT_FP_00717d5d_17441963,ok,,2,1,True
APT_FP_b411e224_17446927_u0,APT_FP_b411e224_17446927,ok,,19,12,True
APT_FP_b411e224_17446927_u1,APT_FP_b411e224_17446927,ok,,3,2,True
APT_FP_b411e224_17446927_u2,APT_FP_b411e224_17446927,ok,,3,2,True
APT_FP_b411e224_17446927_u3,APT_FP_b411e224_17446927,ok,,2,1,True
APT_FP_aab09e28_17441963_u0,APT_FP_aab09e28_17441963,ok,,2,1,True
,APT_FP_dc068135_17434935,rejected,no_unit_with_entrance,17,,
APT_FP_35956a78_17447720_u0,APT_FP_35956a78_17447720,ok,,5,4,True
,APT_FP_645c49d4_17438514,rejected,no_unit_with_entrance,18,,
APT_FP_57e5dd68_17446927_u0,APT_FP_57e5dd68_17446927,ok,,6,5,True
APT_FP_cd74eb38_17438443_u0,APT_FP_cd74eb38_17438443,ok,,11,9,True
APT_FP_cd74eb38_17438443_u1,APT_FP_cd74eb38_17438443,ok,,5,3,True
APT_FP_a9809998_17438514_u0,APT_FP_a9809998_17438514,ok,,10,8,True
APT_FP_b6994259_17446927_u0,APT_FP_b6994259_17446927,ok,,4,3,True
APT_FP_b6994259_17446927_u1,APT_FP_b6994259_17446927,ok,,3,2,True
APT_FP_b6994259_17446927_u2,APT_FP_b6994259_17446927,ok,,3,2,True
APT_FP_b6994259_17446927_u3,APT_FP_b6994259_17446927,ok,,8,6,True
APT_FP_1e571898_17446927_u0,APT_FP_1e571898_17446927,ok,,3,2,True
APT_FP_1e571898_17446927_u1,APT_FP_1e571898_17446927,ok,,10,8,True
APT_FP_1e571898_17446927_u2,APT_FP_1e571898_17446927,ok,,20,12,True
APT_FP_1e571898_17446927_u3,APT_FP_1e571898_17446927,ok,,3,2,True
APT_FP_34336382_17456206_u0,APT_FP_34336382_17456206,ok,,3,2,True
APT_FP_6d6dbbfd_17446927_u0,APT_FP_6d6dbbfd_17446927,ok,,19,12,True
APT_FP_6d6dbbfd_17446927_u1,APT_FP_6d6dbbfd_17446927,ok,,3,2,True
APT_FP_6d6dbbfd_17446927_u2,APT_FP_6d6dbbfd_17446927,ok,,3,2,True
APT_FP_6d6dbbfd_17446927_u3,APT_FP_6d6dbbfd_17446927,ok,,2,1,True
APT_FP_d70ee823_17446927_u0,APT_FP_d70ee823_17446927,ok,,19,12,True
APT_FP_d70ee823_17446927_u1,APT_FP_d70ee823_17446927,ok,,3,2,True
APT_FP_d70ee823_17446927_u2,APT_FP_d70ee823_17446927,ok,,2,1,True
APT_FP_2100fe5a_17447720_u0,APT_FP_2100fe5a_17447720,ok,,3,2,True
APT_FP_2100fe5a_17447720_u1,APT_FP_2100fe5a_17447720,ok,,2,1,True
APT_FP_0de692a6_263013_u0,APT_FP_0de692a6_263013,ok,,3,2,True
APT_FP_bf0351c4_17438514_u0,APT_FP_bf0351c4_17438514,ok,,6,5,True
APT_FP_eddd812c_17438443_u0,APT_FP_eddd812c_17438443,ok,,13,12,True
APT_FP_eddd812c_17438443_u1,APT_FP_eddd812c_17438443,ok,,5,4,True
,APT_FP_ddb8a1e8_17446927,rejected,no_unit_with_entrance,14,,
